Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
MCMA446	Extraction	50 µl water		MCMA446	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1012_N		Data transformation	MCMA446	FILES/1012_N.mzML	Metabolite identification	MCMA446	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA447	Extraction	50 µl water		MCMA447	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1013_N		Data transformation	MCMA447	FILES/1013_N.mzML	Metabolite identification	MCMA447	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA448	Extraction	50 µl water		MCMA448	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1014_N		Data transformation	MCMA448	FILES/1014_N.mzML	Metabolite identification	MCMA448	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA450	Extraction	50 µl water		MCMA450	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1016_N		Data transformation	MCMA450	FILES/1016_N.mzML	Metabolite identification	MCMA450	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA451	Extraction	50 µl water		MCMA451	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1017_N		Data transformation	MCMA451	FILES/1017_N.mzML	Metabolite identification	MCMA451	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA452	Extraction	50 µl water		MCMA452	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1018_N		Data transformation	MCMA452	FILES/1018_N.mzML	Metabolite identification	MCMA452	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA455	Extraction	50 µl water		MCMA455	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1019_N		Data transformation	MCMA455	FILES/1019_N.mzML	Metabolite identification	MCMA455	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA458	Extraction	50 µl water		MCMA458	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1020_N		Data transformation	MCMA458	FILES/1020_N.mzML	Metabolite identification	MCMA458	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA459	Extraction	50 µl water		MCMA459	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1021_N		Data transformation	MCMA459	FILES/1021_N.mzML	Metabolite identification	MCMA459	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA462	Extraction	50 µl water		MCMA462	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1023_N		Data transformation	MCMA462	FILES/1023_N.mzML	Metabolite identification	MCMA462	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA463	Extraction	50 µl water		MCMA463	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1024_N		Data transformation	MCMA463	FILES/1024_N.mzML	Metabolite identification	MCMA463	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA465	Extraction	50 µl water		MCMA465	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1026_N		Data transformation	MCMA465	FILES/1026_N.mzML	Metabolite identification	MCMA465	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA466	Extraction	50 µl water		MCMA466	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1027_N		Data transformation	MCMA466	FILES/1027_N.mzML	Metabolite identification	MCMA466	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA472	Extraction	50 µl water		MCMA472	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1029_N		Data transformation	MCMA472	FILES/1029_N.mzML	Metabolite identification	MCMA472	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA474	Extraction	50 µl water		MCMA474	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1030_N		Data transformation	MCMA474	FILES/1030_N.mzML	Metabolite identification	MCMA474	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA477	Extraction	50 µl water		MCMA477	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1031_N		Data transformation	MCMA477	FILES/1031_N.mzML	Metabolite identification	MCMA477	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA478	Extraction	50 µl water		MCMA478	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1032_N		Data transformation	MCMA478	FILES/1032_N.mzML	Metabolite identification	MCMA478	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA480	Extraction	50 µl water		MCMA480	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1033_N		Data transformation	MCMA480	FILES/1033_N.mzML	Metabolite identification	MCMA480	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA484	Extraction	50 µl water		MCMA484	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1034_N		Data transformation	MCMA484	FILES/1034_N.mzML	Metabolite identification	MCMA484	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA489	Extraction	50 µl water		MCMA489	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1035_N		Data transformation	MCMA489	FILES/1035_N.mzML	Metabolite identification	MCMA489	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA491	Extraction	50 µl water		MCMA491	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1036_N		Data transformation	MCMA491	FILES/1036_N.mzML	Metabolite identification	MCMA491	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA493	Extraction	50 µl water		MCMA493	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1037_N		Data transformation	MCMA493	FILES/1037_N.mzML	Metabolite identification	MCMA493	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA495	Extraction	50 µl water		MCMA495	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1038_N		Data transformation	MCMA495	FILES/1038_N.mzML	Metabolite identification	MCMA495	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA496	Extraction	50 µl water		MCMA496	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1039_N		Data transformation	MCMA496	FILES/1039_N.mzML	Metabolite identification	MCMA496	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA497	Extraction	50 µl water		MCMA497	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1040_N		Data transformation	MCMA497	FILES/1040_N.mzML	Metabolite identification	MCMA497	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA501	Extraction	50 µl water		MCMA501	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1041_N		Data transformation	MCMA501	FILES/1041_N.mzML	Metabolite identification	MCMA501	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA502	Extraction	50 µl water		MCMA502	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1042_N		Data transformation	MCMA502	FILES/1042_N.mzML	Metabolite identification	MCMA502	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA503	Extraction	50 µl water		MCMA503	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1043_N		Data transformation	MCMA503	FILES/1043_N.mzML	Metabolite identification	MCMA503	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA513	Extraction	50 µl water		MCMA513	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1044_N		Data transformation	MCMA513	FILES/1044_N.mzML	Metabolite identification	MCMA513	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA515	Extraction	50 µl water		MCMA515	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1045_N		Data transformation	MCMA515	FILES/1045_N.mzML	Metabolite identification	MCMA515	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA516	Extraction	50 µl water		MCMA516	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1046_N		Data transformation	MCMA516	FILES/1046_N.mzML	Metabolite identification	MCMA516	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA523	Extraction	50 µl water		MCMA523	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1048_N		Data transformation	MCMA523	FILES/1048_N.mzML	Metabolite identification	MCMA523	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA526	Extraction	50 µl water		MCMA526	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1049_N		Data transformation	MCMA526	FILES/1049_N.mzML	Metabolite identification	MCMA526	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA528	Extraction	50 µl water		MCMA528	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1050_N		Data transformation	MCMA528	FILES/1050_N.mzML	Metabolite identification	MCMA528	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA533	Extraction	50 µl water		MCMA533	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1051_N		Data transformation	MCMA533	FILES/1051_N.mzML	Metabolite identification	MCMA533	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA534	Extraction	50 µl water		MCMA534	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	negative	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1052_N		Data transformation	MCMA534	FILES/1052_N.mzML	Metabolite identification	MCMA534	m_MTBLS315_UPLC_NEG_nmfi_and_bsi_diagnosis_v2_maf.tsv
