Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
MCMA450	Extraction	50 µl water	none	MCMA450	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1016_P		Data transformation	MCMA450	FILES/1016_P.mzML	Metabolite identification	MCMA450	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA451	Extraction	50 µl water	none	MCMA451	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1017_P		Data transformation	MCMA451	FILES/1017_P.mzML	Metabolite identification	MCMA451	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA452	Extraction	50 µl water	none	MCMA452	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1018_P		Data transformation	MCMA452	FILES/1018_P.mzML	Metabolite identification	MCMA452	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA455	Extraction	50 µl water	none	MCMA455	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1019_P		Data transformation	MCMA455	FILES/1019_P.mzML	Metabolite identification	MCMA455	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA458	Extraction	50 µl water	none	MCMA458	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1020_P		Data transformation	MCMA458	FILES/1020_P.mzML	Metabolite identification	MCMA458	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA459	Extraction	50 µl water	none	MCMA459	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1021_P		Data transformation	MCMA459	FILES/1021_P.mzML	Metabolite identification	MCMA459	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA462	Extraction	50 µl water	none	MCMA462	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1023_P		Data transformation	MCMA462	FILES/1023_P.mzML	Metabolite identification	MCMA462	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA463	Extraction	50 µl water	none	MCMA463	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1024_P		Data transformation	MCMA463	FILES/1024_P.mzML	Metabolite identification	MCMA463	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA465	Extraction	50 µl water	none	MCMA465	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1026_P		Data transformation	MCMA465	FILES/1026_P.mzML	Metabolite identification	MCMA465	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA466	Extraction	50 µl water	none	MCMA466	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1027_P		Data transformation	MCMA466	FILES/1027_P.mzML	Metabolite identification	MCMA466	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA472	Extraction	50 µl water	none	MCMA472	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1029_P		Data transformation	MCMA472	FILES/1029_P.mzML	Metabolite identification	MCMA472	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA474	Extraction	50 µl water	none	MCMA474	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1030_P		Data transformation	MCMA474	FILES/1030_P.mzML	Metabolite identification	MCMA474	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA477	Extraction	50 µl water	none	MCMA477	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1031_P		Data transformation	MCMA477	FILES/1031_P.mzML	Metabolite identification	MCMA477	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA478	Extraction	50 µl water	none	MCMA478	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1032_P		Data transformation	MCMA478	FILES/1032_P.mzML	Metabolite identification	MCMA478	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA480	Extraction	50 µl water	none	MCMA480	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1033_P		Data transformation	MCMA480	FILES/1033_P.mzML	Metabolite identification	MCMA480	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA484	Extraction	50 µl water	none	MCMA484	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1034_P		Data transformation	MCMA484	FILES/1034_P.mzML	Metabolite identification	MCMA484	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA489	Extraction	50 µl water	none	MCMA489	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1035_P		Data transformation	MCMA489	FILES/1035_P.mzML	Metabolite identification	MCMA489	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA491	Extraction	50 µl water	none	MCMA491	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1036_P		Data transformation	MCMA491	FILES/1036_P.mzML	Metabolite identification	MCMA491	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA493	Extraction	50 µl water	none	MCMA493	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1037_P		Data transformation	MCMA493	FILES/1037_P.mzML	Metabolite identification	MCMA493	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA495	Extraction	50 µl water	none	MCMA495	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1038_P		Data transformation	MCMA495	FILES/1038_P.mzML	Metabolite identification	MCMA495	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA496	Extraction	50 µl water	none	MCMA496	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1039_P		Data transformation	MCMA496	FILES/1039_P.mzML	Metabolite identification	MCMA496	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA497	Extraction	50 µl water	none	MCMA497	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1040_P		Data transformation	MCMA497	FILES/1040_P.mzML	Metabolite identification	MCMA497	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA501	Extraction	50 µl water	none	MCMA501	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1041_P		Data transformation	MCMA501	FILES/1041_P.mzML	Metabolite identification	MCMA501	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA502	Extraction	50 µl water	none	MCMA502	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1042_P		Data transformation	MCMA502	FILES/1042_P.mzML	Metabolite identification	MCMA502	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA503	Extraction	50 µl water	none	MCMA503	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1043_P		Data transformation	MCMA503	FILES/1043_P.mzML	Metabolite identification	MCMA503	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA513	Extraction	50 µl water	none	MCMA513	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1044_P		Data transformation	MCMA513	FILES/1044_P.mzML	Metabolite identification	MCMA513	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA515	Extraction	50 µl water	none	MCMA515	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1045_P		Data transformation	MCMA515	FILES/1045_P.mzML	Metabolite identification	MCMA515	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA516	Extraction	50 µl water	none	MCMA516	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1046_P		Data transformation	MCMA516	FILES/1046_P.mzML	Metabolite identification	MCMA516	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA523	Extraction	50 µl water	none	MCMA523	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1048_P		Data transformation	MCMA523	FILES/1048_P.mzML	Metabolite identification	MCMA523	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA526	Extraction	50 µl water	none	MCMA526	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1049_P		Data transformation	MCMA526	FILES/1049_P.mzML	Metabolite identification	MCMA526	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA528	Extraction	50 µl water	none	MCMA528	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1050_P		Data transformation	MCMA528	FILES/1050_P.mzML	Metabolite identification	MCMA528	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA533	Extraction	50 µl water	none	MCMA533	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1051_P		Data transformation	MCMA533	FILES/1051_P.mzML	Metabolite identification	MCMA533	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
MCMA534	Extraction	50 µl water	none	MCMA534	Chromatography	Thermo Scientific Accela UHPLC System			Hypersil GOLD C18 (1.9 µm, 2.1 mm x 100 mm; Thermo Scientific)	reverse phase					Mass spectrometry	positive	100-1000	Thermo Scientific LTQ Orbitrap			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	1052_P		Data transformation	MCMA534	FILES/1052_P.mzML	Metabolite identification	MCMA534	m_MTBLS315_UPLC_POS_nmfi_and_bsi_diagnosis_v2_maf.tsv
